scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
ground_truth_size_1,47,"[('containsIngredient', 'OSCAR MAYER,WIENERS (BEEF FRANKS)')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,48,"[('containsIngredient', 'CRANBERRY JUC COCKTAIL,FRZ CONC')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232
ground_truth_size_1,49,"[('containsIngredient', 'PAPAYA,CND,HVY SYRUP,DRND')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258
ground_truth_size_1,50,"[('containsIngredient', 'INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF')]",2,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,51,"[('containsIngredient', 'MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0008532423208191126
ground_truth_size_1,52,"[('containsIngredient', 'RADISHES,ORIENTAL,DRIED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.047191238076011e-05
ground_truth_size_1,53,"[('containsIngredient', 'APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
ground_truth_size_1,54,"[('containsIngredient', 'PINEAPPLE,RAW,EX SWT VAR')]",2,0.0,0.0,1.0,0.0,0.0,0.1,0.14285714285714285
ground_truth_size_1,55,"[('containsIngredient', 'CARROTS,BABY,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010050251256281408
ground_truth_size_1,56,"[('containsIngredient', 'SUPPER MEAL KITS,SAVORY PORK CHOPS W/ HERB STUFFING')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00036310820624546115
ground_truth_size_1,57,"[('containsIngredient', 'EGG,GOOSE,WHOLE,FRESH,RAW')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0001362954886193267
ground_truth_size_1,58,"[('containsIngredient', 'PRUNE JUICE,CANNED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.0896458050360463e-05
ground_truth_size_1,59,"[('containsIngredient', 'PUDDINGS,CHOC,DRY MIX,INST,PREP W/ 2% MILK')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517
ground_truth_size_1,60,"[('containsIngredient', 'RESTAURANT,CHINESE,SWT & SOUR PORK')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.000441306266548985
ground_truth_size_1,61,"[('containsIngredient', 'PIGEON PEAS (RED GM),MATURE SEEDS,RAW')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.2
ground_truth_size_1,62,"[('containsIngredient', 'COOKIES,SHORTBREAD,COMMLY PREP,PECAN')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_1,63,"[('containsIngredient', 'SAUCE,STEAK,TOMATO BSD')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00065359477124183
ground_truth_size_1,64,"[('containsIngredient', 'FROZEN NOVELTIES,ICE TYPE,PINEAPPLE-COCONUT')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_1,65,"[('containsIngredient', 'PORK,FRSH,VAR MEATS&BY-PRODUCTS,JOWL,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.094538140182578e-05
ground_truth_size_1,66,"[('containsIngredient', 'CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR')]",2,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,67,"[('containsIngredient', 'Tapenade tomato')]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.175126590095097e-05
ground_truth_size_1,68,"[('containsIngredient', 'PERSIMMONS,JAPANESE,RAW')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0005282620179609086
ground_truth_size_1,69,"[('containsIngredient', 'GRAVY,BROWN,DRY')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.592016588906169e-05
ground_truth_size_1,70,"[('containsIngredient', 'WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.363953742090334e-05
ground_truth_size_1,71,"[('containsIngredient', 'DOMINO\'S 14"" CHS PIZZA,CLASSIC HAND-TOSSED CRUST')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,72,"[('containsIngredient', 'PUMPKIN&SQUASH SEEDS,WHL,RSTD,W/SALT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.5117291754459895e-05
ground_truth_size_1,73,"[('containsIngredient', 'ORANGE PNAPPL JUC BLEND')]",1,0.0,0.0,0.0,0.0,0.0,0.0,6.12369871402327e-05
ground_truth_size_1,74,"[('containsIngredient', 'CEREALS RTE,GRANOLA,HOMEMADE')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288
ground_truth_size_1,75,"[('containsIngredient', 'SALMON,SOCKEYE,CKD,DRY HEAT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.539058599246516e-05
ground_truth_size_1,76,"[('containsIngredient', 'SABLEFISH,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,7.900142202559646e-05
ground_truth_size_1,77,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE PATTIES MAPLE FLAV,FRZ,UNPR')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,78,"[('containsIngredient', 'POTATOES,FRENCH FR,SHOESTRING,SALT ADDED IN PROC,FRZ,AS PRCH')]",2,0.0,0.0,0.0,0.0,0.0,0.0,7.679901697258276e-05
ground_truth_size_1,79,"[('containsIngredient', 'TORTILLA CHIPS,LOFAT,UNSALTED')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
ground_truth_size_1,80,"[('containsIngredient', 'ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827
ground_truth_size_1,81,"[('containsIngredient', 'CANDIES,TRUFFLES,PREPARED-FROM-RECIPE')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
ground_truth_size_1,82,"[('containsIngredient', 'WHEAT,HARD WHITE')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0009487666034155598
ground_truth_size_1,83,"[('containsIngredient', 'BEANS,PINK,MATURE SEEDS,CKD,BLD,WO/SALT')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.001176470588235294
ground_truth_size_1,84,"[('containsIngredient', 'BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,W/ SALT')]",3,0.0,0.0,1.0,0.0,0.0,0.1,0.125
ground_truth_size_1,85,"[('containsIngredient', 'BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,RAW')]",3,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_1,86,"[('containsIngredient', 'FROSTINGS,VANILLA,CREAMY,DRY MIX,PREP W/ MARGARINE')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.000725689404934688
ground_truth_size_1,87,"[('containsIngredient', 'Lemon sole raw')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0001849112426035503
ground_truth_size_1,88,"[('containsIngredient', 'HONEY ROLL SAUSAGE,BEEF')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0005467468562055768
ground_truth_size_1,89,"[('containsIngredient', 'PERCH,MIXED SPECIES,RAW')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
ground_truth_size_1,90,"[('containsIngredient', 'CORNMEAL,DEGERMED,ENR,WHITE')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0002770083102493075
ground_truth_size_1,91,"[('containsIngredient', 'GRAPES,AMERICAN TYPE (SLIP SKN),RAW')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
ground_truth_size_1,92,"[('containsIngredient', 'SOUP,CLAM CHOWDER,MANHATTAN,CND,COND')]",4,1.0,1.0,1.0,1.0,0.2,0.2,1.0
ground_truth_size_1,93,"[('containsIngredient', 'ANISE SEED')]",3,0.0,0.0,0.0,0.0,0.0,0.0,5.593153979529056e-05
ground_truth_size_1,94,"[('containsIngredient', ""CAMPBELL'S HOMESTYLE HARVEST TOMATO W/ BASIL SOUP"")]",3,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,95,"[('containsIngredient', 'PORK,FRSH,SHLDR,BLADE,BOSTON (ROASTS),LN,CKD,RSTD')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
ground_truth_size_1,96,"[('containsIngredient', 'TUNA,WHITE,CND IN H2O,DRND SOL')]",4,0.0,0.0,1.0,0.0,0.0,0.1,0.125
ground_truth_size_1,97,"[('containsIngredient', 'SAUCE,BARBECUE,KC MASTERPIECE,ORIGINAL')]",3,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,98,"[('containsIngredient', 'CHICKEN,STEWING,MEAT ONLY,RAW')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.00028169014084507044
ground_truth_size_1,99,"[('containsIngredient', 'PEPPERS,HUNGARIAN,RAW')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
ground_truth_size_1,100,"[('containsIngredient', 'NUTS,WALNUTS,GLAZED')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0018587360594795538
ground_truth_size_1,101,"[('containsIngredient', 'MACARONI,DRY,ENR')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.00019916351324437363
ground_truth_size_1,102,"[('containsIngredient', 'LENTILS,RAW')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
ground_truth_size_1,103,"[('containsIngredient', 'HADDOCK,SMOKED')]",4,0.0,0.0,1.0,0.0,0.0,0.1,0.1111111111111111
ground_truth_size_1,104,"[('containsIngredient', 'Monosodium glutamate Ve-tsin')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.00038774718883288094
ground_truth_size_1,105,"[('containsIngredient', 'LAMB,NZ,IMP,NECK CHOPS,LN,RAW')]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374
ground_truth_size_1,106,"[('containsIngredient', 'SMART SOUP,FRENCH LENTIL')]",3,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,107,"[('containsIngredient', 'PANCAKES,SPL DIETARY,DRY MIX')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315
ground_truth_size_1,108,"[('containsIngredient', 'GUAVAS,COMMON,RAW')]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0003526093088857546
ground_truth_size_1,109,"[('containsIngredient', 'FROZ NOVELTIES,ICE TYPE,SUGAR FREE,ORNGE,CHRY,& GRP POPSICLE')]",5,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,110,"[('containsIngredient', 'CANDIES,MR. GOODBAR CHOC BAR')]",6,1.0,1.0,1.0,1.0,0.4,0.3,1.0
ground_truth_size_1,111,"[('containsIngredient', 'TUNA,LT,CND IN OIL,WO/SALT,DRND SOL')]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364
ground_truth_size_1,112,"[('containsIngredient', 'Potato croquettes frozen prepared')]",6,1.0,1.0,1.0,1.0,0.8,0.4,1.0
ground_truth_size_1,113,"[('containsIngredient', 'CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856
ground_truth_size_1,114,"[('containsIngredient', 'SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)')]",5,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,115,"[('containsIngredient', 'Cassava raw')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
ground_truth_size_1,116,"[('containsIngredient', ""MCDONALD'S,HASH BROWN"")]",6,0.0,0.0,1.0,0.0,0.0,0.1,0.16666666666666666
ground_truth_size_1,117,"[('containsIngredient', 'WALNUTS,ENGLISH')]",6,0.0,0.0,1.0,0.0,0.0,0.1,0.125
ground_truth_size_1,118,"[('containsIngredient', 'CHICKEN,DK MEAT,THIGH,MEAT ONLY,ENHANCED,RAW')]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505
ground_truth_size_1,119,"[('containsIngredient', 'APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C')]",6,0.0,1.0,1.0,0.0,0.2,0.2,0.3333333333333333
ground_truth_size_1,120,"[('containsIngredient', 'CHEESE,AMERICAN CHEDDAR,IMITN')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541
ground_truth_size_1,121,"[('containsIngredient', 'Beans soya dried')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.003067484662576687
ground_truth_size_1,122,"[('containsIngredient', 'PICKLE RELISH,SWEET')]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0006402048655569782
ground_truth_size_1,123,"[('containsIngredient', 'BEANS,ADZUKI,YOKAN,MATURE SEEDS')]",5,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,124,"[('containsIngredient', 'SYRUPS,MALT')]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317
ground_truth_size_1,125,"[('containsIngredient', 'ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444
ground_truth_size_1,126,"[('containsIngredient', 'GARLIC BREAD,FRZ')]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732
ground_truth_size_1,127,"[('containsIngredient', 'SAUSAGE,MEATLESS')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.004149377593360996
ground_truth_size_1,128,"[('containsIngredient', 'Tzatziki')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.00016252234682268812
ground_truth_size_1,129,"[('containsIngredient', 'RICE & VERMICELLI MIX,BF FLAVOR,UNPREP')]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0018018018018018018
ground_truth_size_1,130,"[('containsIngredient', 'CHILI WITH BEANS,CANNED')]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576
ground_truth_size_1,131,"[('containsIngredient', 'BEANS,ADZUKI,MATURE SEEDS,RAW')]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
ground_truth_size_1,132,"[('containsIngredient', 'SNACKS,BAGEL CHIPS,PLN')]",6,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,133,"[('containsIngredient', 'BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,SEL,CKD,BRSD')]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
ground_truth_size_1,134,"[('containsIngredient', 'STRAWBERRIES,CND,HVY SYRUP PK,SOL&LIQUIDS')]",8,1.0,1.0,1.0,1.0,0.2,0.2,1.0
ground_truth_size_1,135,"[('containsIngredient', 'BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT,BKD')]",7,0.0,1.0,1.0,0.0,0.2,0.1,0.25
ground_truth_size_1,136,"[('containsIngredient', 'Puddings, rice, ready-to-eat')]",7,0.0,0.0,1.0,0.0,0.0,0.1,0.14285714285714285
ground_truth_size_1,137,"[('containsIngredient', 'CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW')]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
ground_truth_size_1,138,"[('containsIngredient', 'CHEESE,MEXICAN,QUESO ASADERO')]",10,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_1,139,"[('containsIngredient', 'SOYBEAN,CURD CHEESE')]",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045
ground_truth_size_1,140,"[('containsIngredient', 'LIVER CHEESE,PORK')]",10,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703
ground_truth_size_1,141,"[('containsIngredient', 'OIL,SOYBN LECITHIN')]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294
ground_truth_size_1,142,"[('containsIngredient', 'TUNA,FRESH,SKIPJACK,RAW')]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.004484304932735426
ground_truth_size_1,143,"[('containsIngredient', 'Rainbow trout, aquaculture')]",7,0.0,1.0,1.0,0.0,0.4,0.3,0.5
ground_truth_size_1,144,"[('containsIngredient', 'PLUMS,DRIED (PRUNES),UNCKD')]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
ground_truth_size_1,145,"[('containsIngredient', 'Herring fillet in tomato sauce tinned')]",10,0.0,1.0,1.0,0.0,0.2,0.2,0.3333333333333333
ground_truth_size_1,146,"[('containsIngredient', 'SORGHUM GRAIN')]",7,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,147,"[('containsIngredient', 'SALMON,CHINOOK,SMOKED,(LOX),REG')]",9,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_1,148,"[('containsIngredient', 'PEANUTS,SPANISH,RAW')]",10,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308
ground_truth_size_1,149,"[('containsIngredient', ""CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS"")]",9,1.0,1.0,1.0,1.0,0.4,0.6,1.0
ground_truth_size_1,150,"[('containsIngredient', 'PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK')]",7,0.0,1.0,1.0,0.0,0.2,0.2,0.2
ground_truth_size_1,151,"[('containsIngredient', 'PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,UNBAKED')]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
ground_truth_size_1,152,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT')]",9,1.0,1.0,1.0,1.0,0.2,0.2,1.0
ground_truth_size_1,153,"[('containsIngredient', 'MARGARINE,REG,80% FAT,COMP,STK,W/ SALT')]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.004878048780487805
ground_truth_size_1,154,"[('containsIngredient', 'PUDDINGS,VANILLA,DRY MIX,INST,PREP W/ WHL MILK')]",9,0.0,1.0,1.0,0.0,0.2,0.1,0.25
ground_truth_size_1,155,"[('containsIngredient', 'SILK LT VANILLA,SOYMILK')]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421
ground_truth_size_1,156,"[('containsIngredient', 'SHERBET,ORANGE')]",12,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904
ground_truth_size_1,157,"[('containsIngredient', 'COFFEE,INST,REG,PDR')]",12,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872
ground_truth_size_1,158,"[('containsIngredient', 'BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,CHOIC,RAW')]",11,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,159,"[('containsIngredient', 'PEAS,EDIBLE-PODDED,FRZ,UNPREP')]",15,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
