scenario_global_id,scenario_index_in_size,combo_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
ground_truth_size_2,24,2,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,25,2,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Cabbage, white')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,26,2,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Soy sauce salt')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,27,2,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.3333333333333333
ground_truth_size_2,28,2,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Salad shrimp')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,29,2,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'SAUSAGE,ITALIAN,PORK,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,30,2,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,31,2,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,32,2,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,33,2,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,34,2,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ'), ('containsIngredient', 'LEAVENING AGENTS,BAKING SODA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,35,2,"[('containsIngredient', 'PIE CRUST,STANDARD-TYPE,DRY MIX'), ('containsIngredient', 'Soy sauce salt')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,36,2,"[('containsIngredient', 'TURKEY  WHITE  ROTISSERIE  DELI CUT'), ('containsIngredient', 'SOUP,CHICK BROTH,RTS')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,37,2,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD'), ('containsIngredient', 'YOGURT,GREEK,PLN,NONFAT')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,38,2,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,0.0,1.0,0.16666666666666666
ground_truth_size_2,39,2,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD'), ('containsIngredient', 'Celery, stem')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,40,2,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW'), ('containsIngredient', 'PAPRIKA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,41,2,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,42,2,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,43,2,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW'), ('containsIngredient', 'CUMIN SEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,44,2,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX'), ('containsIngredient', 'SEEDS,FLAXSEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,45,2,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,46,2,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,47,2,"[('containsIngredient', 'SEAWEED,WAKAME,RAW'), ('containsIngredient', 'Soy sauce salt')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,48,2,"[('containsIngredient', 'SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O'), ('containsIngredient', 'ARROWROOT FLOUR')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,49,2,"[('containsIngredient', 'SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O'), ('containsIngredient', 'CRUSTACEANS,SHRIMP,UNTREATED,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,50,2,"[('containsIngredient', 'SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,51,2,"[('containsIngredient', ""CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP""), ('containsIngredient', 'YOGURT,GREEK,PLN,NONFAT')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,52,2,"[('containsIngredient', 'MILK,BTTRMLK,FLUID,WHL'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,53,2,"[('containsIngredient', 'MILK,BTTRMLK,FLUID,WHL'), ('containsIngredient', 'LEAVENING AGENTS,BAKING SODA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,54,2,"[('containsIngredient', 'CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS'), ('containsIngredient', 'Cinnamon powder')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,55,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'PEPPERS,JALAPENO,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,56,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'PACE,CHIPOTLE CHUNKY SALSA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,57,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'SAUCE,RTS,PEPPER,TABASCO')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,58,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'PAPRIKA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,59,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,60,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'CUMIN SEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,61,2,"[('containsIngredient', 'W/ CONDMNT'), ('containsIngredient', 'SAUCE,WORCESTERSHIRE')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,62,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'QUESO COTIJA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,63,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,BATTER')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,64,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,65,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,66,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'CUMIN SEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,67,2,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA'), ('containsIngredient', 'SOUP,CHICK BROTH,RTS')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,68,2,"[('containsIngredient', 'OIL,NUTMEG BUTTER'), ('containsIngredient', 'EGG,WHL,CKD,HARD-BOILED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,69,2,"[('containsIngredient', 'OIL,NUTMEG BUTTER'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,70,2,"[('containsIngredient', 'OIL,NUTMEG BUTTER'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,71,2,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB'), ('containsIngredient', 'PECANS')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,72,2,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,73,2,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,74,2,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB'), ('containsIngredient', 'LEAVENING AGENTS,BAKING SODA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,75,2,"[('containsIngredient', 'KASHI PIZZA,TIKKA MASALA,SINGLE SERVE'), ('containsIngredient', 'TURMERIC,GROUND')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,76,2,"[('containsIngredient', 'KASHI PIZZA,TIKKA MASALA,SINGLE SERVE'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,77,2,"[('containsIngredient', 'DUCK,WILD,MEAT&SKN,RAW'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,78,2,"[('containsIngredient', 'DUCK,WILD,MEAT&SKN,RAW'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,79,2,"[('containsIngredient', 'DUCK,WILD,MEAT&SKN,RAW'), ('containsIngredient', 'Celery, stem')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,80,2,"[('containsIngredient', 'CREAM SUBSTITUTE,POWDERED'), ('containsIngredient', 'Salmon tinned')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,81,2,"[('containsIngredient', 'CREAM SUBSTITUTE,POWDERED'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,82,2,"[('containsIngredient', 'CREAM SUBSTITUTE,POWDERED'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,83,2,"[('containsIngredient', 'CREAM SUBSTITUTE,POWDERED'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,84,2,"[('containsIngredient', 'BREADFRUIT,RAW'), ('containsIngredient', 'PIMENTO,CANNED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,85,2,"[('containsIngredient', 'BREADFRUIT,RAW'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.3333333333333333
ground_truth_size_2,86,2,"[('containsIngredient', 'BREADFRUIT,RAW'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,87,2,"[('containsIngredient', 'BREADFRUIT,RAW'), ('containsIngredient', 'Celery, stem')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,88,2,"[('containsIngredient', 'PORK,CURED,BACON,CKD,MICROWAVED'), ('containsIngredient', 'BACON BITS,MEATLESS')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,89,2,"[('containsIngredient', 'PORK,CURED,BACON,CKD,MICROWAVED'), ('containsIngredient', 'Pasta white raw')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,90,2,"[('containsIngredient', 'PORK,CURED,BACON,CKD,MICROWAVED'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,0.0,0.0,1.0,0.16666666666666666
ground_truth_size_2,91,2,"[('containsIngredient', 'Cress'), ('containsIngredient', 'SESAME SEEDS,WHOLE,DRIED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,92,2,"[('containsIngredient', 'Cress'), ('containsIngredient', 'CORNSTARCH')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,93,2,"[('containsIngredient', 'SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG,BKD'), ('containsIngredient', 'MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,94,2,"[('containsIngredient', 'SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG,BKD'), ('containsIngredient', 'GARLIC POWDER')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,95,2,"[('containsIngredient', 'SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG,BKD'), ('containsIngredient', 'Cinnamon powder')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,96,2,"[('containsIngredient', 'CAKE,WHITE,PREP FROM RECIPE W/COCNT FRSTNG'), ('containsIngredient', 'Kiwi')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,97,2,"[('containsIngredient', 'CAKE,WHITE,PREP FROM RECIPE W/COCNT FRSTNG'), ('containsIngredient', 'Pineapple')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,98,2,"[('containsIngredient', 'BAKING CHOC,MEXICAN,SQUARES'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.3333333333333333
ground_truth_size_2,99,2,"[('containsIngredient', 'BAKING CHOC,MEXICAN,SQUARES'), ('containsIngredient', 'CUMIN SEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,100,2,"[('containsIngredient', 'ALCOHOLIC BEV,DAIQUIRI,CND'), ('containsIngredient', 'Kiwi')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,101,2,"[('containsIngredient', 'Sardines grilled'), ('containsIngredient', 'Pasta white raw')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,102,2,"[('containsIngredient', 'Sardines grilled'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,103,2,"[('containsIngredient', 'SNACKS,PITA CHIPS,SALTED'), ('containsIngredient', 'TURMERIC,GROUND')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,104,2,"[('containsIngredient', 'SNACKS,PITA CHIPS,SALTED'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,105,2,"[('containsIngredient', 'SNACKS,PITA CHIPS,SALTED'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,106,2,"[('containsIngredient', 'SNACKS,PITA CHIPS,SALTED'), ('containsIngredient', 'CUMIN SEED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,107,2,"[('containsIngredient', 'BARBECUE LOAF,PORK,BEEF'), ('containsIngredient', 'GARLIC POWDER')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,108,2,"[('containsIngredient', 'SILK STRAWBERRY SOY YOGURT'), ('containsIngredient', 'Kiwi')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,109,2,"[('containsIngredient', 'SILK STRAWBERRY SOY YOGURT'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,110,2,"[('containsIngredient', 'SILK STRAWBERRY SOY YOGURT'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,111,2,"[('containsIngredient', 'SILK STRAWBERRY SOY YOGURT'), ('containsIngredient', 'SHORTENING,VEG,HOUSEHOLD,COMP')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,112,2,"[('containsIngredient', 'Grapes, muscadine, raw'), ('containsIngredient', 'Redcurrants')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,113,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'SAUCE,PIZZA,CND,RTS')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,114,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'KASHI PESTO PASTA PRIMAVERA,FRZ,UNPREP')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,115,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'Onion, purple, dried')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,116,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,117,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,118,2,"[('containsIngredient', 'BREAD STICKS,PLAIN'), ('containsIngredient', 'MUSHROOMS,WHITE,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,119,2,"[('containsIngredient', 'PUDDINGS,CHOC,RTE,FAT FREE'), ('containsIngredient', 'Pineapple')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,120,2,"[('containsIngredient', 'MALT BEV,INCL NON-ALCOHOLIC BEER'), ('containsIngredient', 'CORNSTARCH')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,121,2,"[('containsIngredient', 'MALT BEV,INCL NON-ALCOHOLIC BEER'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.2
ground_truth_size_2,122,2,"[('containsIngredient', 'MALT BEV,INCL NON-ALCOHOLIC BEER'), ('containsIngredient', 'SAUCE,WORCESTERSHIRE')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,123,2,"[('containsIngredient', 'BUCKWHEAT'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,124,2,"[('containsIngredient', 'BUCKWHEAT'), ('containsIngredient', 'Cinnamon powder')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,125,2,"[('containsIngredient', 'OSCAR MAYER,WIENERS (BEEF FRANKS)'), ('containsIngredient', 'MOLASSES')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,126,2,"[('containsIngredient', 'OSCAR MAYER,WIENERS (BEEF FRANKS)'), ('containsIngredient', 'ONIONS,YOUNG GRN,TOPS ONLY')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,127,2,"[('containsIngredient', 'OSCAR MAYER,WIENERS (BEEF FRANKS)'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,128,2,"[('containsIngredient', 'OSCAR MAYER,WIENERS (BEEF FRANKS)'), ('containsIngredient', 'Catsup')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,129,2,"[('containsIngredient', 'PAPAYA,CND,HVY SYRUP,DRND'), ('containsIngredient', 'Redcurrants')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,130,2,"[('containsIngredient', 'PAPAYA,CND,HVY SYRUP,DRND'), ('containsIngredient', 'Flour rice')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,131,2,"[('containsIngredient', 'PAPAYA,CND,HVY SYRUP,DRND'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,132,2,"[('containsIngredient', 'PAPAYA,CND,HVY SYRUP,DRND'), ('containsIngredient', 'LEAVENING AGENTS,BAKING SODA')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,133,2,"[('containsIngredient', 'INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF'), ('containsIngredient', 'SILK VANILLA,SOYMILK')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,134,2,"[('containsIngredient', 'INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF'), ('containsIngredient', 'EGG SUBSTITUTE,POWDER')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,135,2,"[('containsIngredient', 'INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF'), ('containsIngredient', 'Flour wheat white')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,136,2,"[('containsIngredient', 'INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF'), ('containsIngredient', 'Cinnamon powder')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,137,2,"[('containsIngredient', 'MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD'), ('containsIngredient', 'Flour wheat white')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,138,2,"[('containsIngredient', 'RADISHES,ORIENTAL,DRIED'), ('containsIngredient', 'Salad shrimp')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,139,2,"[('containsIngredient', 'APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS'), ('containsIngredient', 'PECANS')]",1,90656,1.0,1.0,1.0,1.0
